number,uid,gender,age_range_code,area_code,gender_str,age_range,area_str,CV,purchase_amount
90,F21308C5E7B31BD6D162B68CFA53D938313CA985CC9C956C06,2,5,5,female,40-49,Saitama,0,0
91,E4DB5C72D325246BDCA7D779A1A8FA51FF6A9A57B5792B7650,2,2,30,female,18-22,Nagasaki,0,0
97,292AA742D0D6813367E6C3D443D25F1EAC7964C5BE1A04FEEF,2,2,22,female,18-22,Mie,0,0
102,B4834566B860B291D63B79599381615AAB3AF002410F690C29,2,7,9,female,60-,Fukuoka,0,0
106,F94086DB8224593237FBF9D694687B64927CBE2A6F3657B112,2,5,3,female,40-49,Oosaka,0,0
107,B76E3C5578AB4C2165FB86811B17F8C01E56297B5B0FD3BFA1,2,4,2,female,30-39,Kanagawa,0,0
108,173FCD3C31B845E914D87293AF14EC1E39E6DA4097D4756CD9,2,2,4,female,18-22,Aichi,0,0
112,FB2BA5A7E1951F0B270F98E036146C01D1D00BBCA987BDF4FA,2,1,39,female,16-18,Kagawa,1,300
121,FE3C5937FCBCBA883D1070E4A14200F3D04F713DD30D03CC9C,2,2,3,female,18-22,Oosaka,0,0
123,D9D6F4A404D615B211505AF8BC193E4845DBA7EC5B2FEB741D,2,2,18,female,18-22,Tochigi,0,0
126,81FF9A734836D7357F366F16E786EDF1527DA9BB73E62AC04B,2,6,1,female,50-59,Tokyo,0,0
127,A772F72223DC4C10C738BAEC2FDA1E98D9CCD4F91E241B1A74,2,5,1,female,40-49,Tokyo,0,0
128,2DE3579A51661AFB69DA82DFE7CDE4057D664B122D75464908,2,1,1,female,16-18,Tokyo,0,0
129,12179FF7B6E95BF6CDC5794003314A7CF1D47A675F29502FDD,2,4,15,female,30-39,Niigata,0,0
131,F6020E050F1E13D7377FB3B2BE98550F15116D2F5B4B06413E,2,7,4,female,60-,Aichi,0,0
134,9869544DA8AAF8C77B23F930262D2885FB528670BBEBC281D8,2,5,1,female,40-49,Tokyo,0,0
137,731B06457D51F7F914BAA4B4381B947634339FA7E258917426,2,6,10,female,50-59,Shizuoka,0,0
142,0493C1E059E8E537CF52A52C437AEA6366276748B0BBD62F68,2,4,2,female,30-39,Kanagawa,1,2020
143,12F486E1F2AFA557FF518FC1A4C5298A9D5FCBF101465F03C0,2,5,1,female,40-49,Tokyo,0,0
144,AA5FD5DCC571BB6AD4E787EAC162C5D7A287F2D0671AA4BC0C,2,2,24,female,18-22,Kagoshima,0,0
145,6C7F11C54ED74ABCD62ECEE52E1F760E3FA61CD6E1EA0F1C2C,2,2,7,female,18-22,Hyogo,0,0
146,EB2494674AAF6317346041176A0012C5C0D6B837728926E645,2,4,16,female,30-39,Nagano,0,0
150,64B9FC0AE6A3FA072759C18651E19C87C3C0E14124F7999F50,2,4,3,female,30-39,Oosaka,0,0
154,04E054B7E0FD1A5868C0407D8E5C0EB2651368B38D0B1BD0CC,2,4,6,female,30-39,Chiba,0,0
157,118CE6B789F45DD61D68FE84FE7E8E29F60B91B853AB55338F,2,2,7,female,18-22,Hyogo,0,0
158,E4F78295831320F239F3B50E772106CCA47EE053E7F8D53416,2,6,9,female,50-59,Fukuoka,0,0
159,DCF9407BA761324D749F5152449D2FBD54712572AE0F05C0B6,2,4,2,female,30-39,Kanagawa,0,0
161,5580086D51B251BE143813441A8FDA5298F8149B736BBB6144,2,4,7,female,30-39,Hyogo,0,0
162,9C89E817CCD9D40B2BE68CCAAE8BBD8589363C7DE61CAF8BEC,2,2,21,female,18-22,Fukushima,0,0
163,A2456AEC94288E4ECABD6134314ECC2D09474D1955962AD69C,2,1,9,female,16-18,Fukuoka,0,0
165,671C465E78C3B3F0CCBF56104F0D411B5204BE3B613B6648F8,2,5,4,female,40-49,Aichi,0,0
169,CAFF496745F99BDB94D5630B11D5C333A3A5A4A969671CEF02,2,5,3,female,40-49,Oosaka,1,540
176,BBCC20D0FE749B6251619D8A3E8A28EFDA0BC1B1705B59D62D,2,4,5,female,30-39,Saitama,1,360
178,7EB0AD6B366E1B999B027C947A4BB2A43F59CDDB0CBC474CC3,2,3,2,female,22-29,Kanagawa,0,0
181,2F9773F5715D0DF375999E9DD98969657DC90273567B4C5535,2,4,37,female,30-39,Toyama,0,0
184,AA8B2EF00C1CCD796C29C765935E6CE8BE6799DB0048446079,2,5,4,female,40-49,Aichi,0,0
185,E4303D219377B4F95708021F4E100AC7588767780760E7DC89,2,4,8,female,30-39,Hokkaido,0,0
186,C9951636E58849D8FAEC491D9ED5716C8AB06C0EAF2CE4310F,2,4,20,female,30-39,Okayama,0,0
187,8639F780D2784D91CFC77F188CDE3F46C9C447283E553C36BA,2,6,42,female,50-59,Yamanashi,1,140
194,453474EB741747498D538C2FDBDA9D2D8E90151D91A0BAB2B3,2,6,5,female,50-59,Saitama,0,0
195,B5FE26F3B1D303B037C0FF7614576827BEE6A779734D618463,2,4,10,female,30-39,Shizuoka,0,0
197,10C1384BC7FD60F22F1E90372C1665972D46A44F033747013F,2,5,3,female,40-49,Oosaka,0,0
201,966FF77789EEE996E1130816D2F1717C9C6D393FBA04697B1F,2,6,1,female,50-59,Tokyo,0,0
205,BD3ED338568C4A195663B14D25EFF9FE99342BC46EBD722EE4,2,2,40,female,18-22,Wakayama,0,0
206,77D2391EEEA772A0D5445506B191B123A84B17E87F7E6B0F98,2,1,5,female,16-18,Saitama,0,0
210,8815519CE8663F14652F8B16A7EC2A76EAED82EB9104D18071,2,6,9,female,50-59,Fukuoka,0,0
213,7460E2EDFFD03604C6362DDE026C5EED93E13F432FFA3C2204,2,2,7,female,18-22,Hyogo,1,200
214,57047CFDA67B0B9A429129FCFD63CDBCF5B95CDBCACC701473,2,2,3,female,18-22,Oosaka,0,0
217,D135B8A8B6D6FA2DFC3BCE674C20E267E974AC0016E536FFB4,2,4,12,female,30-39,Hiroshima,0,0
222,A777F2E61DB467419994BAD728C98D2D36440759E3C6A4C5DC,2,5,6,female,40-49,Chiba,0,0
226,B3204F01502F946F30DE1607B97F696547D20CC64EA8DFF914,2,2,8,female,18-22,Hokkaido,0,0
227,C8E42BEEBE64C424902FE072D9A422A3165DCB4E772AD1BF86,2,6,7,female,50-59,Hyogo,0,0
236,2332C97EE1557504622441216A8518D7B75FD24232B6A1D5DB,2,4,7,female,30-39,Hyogo,0,0
237,C8898BCCE6B1F7E87B5AAEF6D892A0BA60470CE775F65A35BC,2,2,7,female,18-22,Hyogo,1,340
238,03E5BA6C81D42A3FA38E28D0823D21E669307E3F2335AB2810,2,5,7,female,40-49,Hyogo,0,0
240,7E0E368EE256874C72D53C014A9A2E5BCD86A0DB472333417F,2,5,2,female,40-49,Kanagawa,0,0
241,02B144484767B24858ECCF667B93825C500F41ED23686EEDB6,2,5,1,female,40-49,Tokyo,0,0
243,BABE2D439A5936CC1535F32C541FFDC997B08517145BA6464D,2,4,24,female,30-39,Kagoshima,0,0
244,CFE60C6BD1D996706FBB95300A53214235A85825BA63014CC1,2,1,4,female,16-18,Aichi,0,0
247,6BD358C91A5B8CD95D1E2A4CE60C5EE99FF255F817E5FA440B,2,2,37,female,18-22,Toyama,1,620
248,DEE8068917D43A1F5623BC6B8071E73017711F1AD8CEF872A5,2,4,6,female,30-39,Chiba,0,0
251,6FFEA44E2ED787DE6C96021D95A355E7C1037F69F00820A0B2,2,3,27,female,22-29,Yamaguchi,0,0
253,669089DAE93D1B51B92B15CB8282E724C1C632ED81CA721368,2,7,18,female,60-,Tochigi,0,0
257,BF069FAAC44AC1B0B6B9C21B8C64F9BBFD4C5D6E19A11DF823,2,2,31,female,18-22,Aomori,0,0
263,C7D71FE418CA91B9AB033C423E5C75D869B77B4AB5E760F397,2,4,33,female,30-39,Ishikawa,0,0
264,B5A005B42A4759F0423B6954D72B1087BB29B413D2D6686FCA,2,4,26,female,30-39,Shiga,0,0
269,71A1575EB562729CA9501A57BB1A7E7EC02681DF1075284623,2,5,4,female,40-49,Aichi,0,0
272,BF43943FB26E606E7FA705119610A100CD68A7DE22E0E508F6,2,6,5,female,50-59,Saitama,0,0
273,A22A6C758257E45AF50B243F7EA8C9A05F0B969B972718E072,2,4,22,female,30-39,Mie,1,40
275,0C36A6EFB50C85D617CC57464B14BA38764D381F3B8F825A03,2,3,14,female,22-29,Miyagi,0,0
277,637655C46B9EA1A00A6191211A504EE56408C2E9FFA36191F1,2,2,34,female,18-22,Oomuta,0,0
280,9E9C7E00E7545D12AA66C425CB72E9D2AA2A03290E6195EA2E,2,2,13,female,18-22,Kyoto,0,0
283,5EDD79A3A9B75CD2C9928D5C873BE9478A6DADFD047CB0E2DE,2,4,7,female,30-39,Hyogo,0,0
284,3491A16CD59E3FD6482050A575434C536C3AC7868466808D08,2,1,2,female,16-18,Kanagawa,0,0
297,13122797FA5A7722B70B234A9B49D9BF5363722C941A3DF04C,2,4,1,female,30-39,Tokyo,0,0
299,31C89C55494EC8B6C6AF295927904162E745098DFAE7A7E4D3,2,3,1,female,22-29,Tokyo,0,0
300,EBD29C563D69A33E7B40DB3FB582FA922D1E8FDBEF20E98E0B,2,1,8,female,16-18,Hokkaido,0,0
301,45E4C14CE301244C61F94A37B8526BEAF6725435B6A1C53056,2,4,35,female,30-39,Yamagata,0,0
306,7CD5D085AB482874F1DFFEC91F9D6F969500456238C7C107FA,2,2,11,female,18-22,Ibaraki,0,0
308,EC3B0D8D6BBEB946001CB81C6C485C8A529D5C7E89DE92EAA1,2,4,1,female,30-39,Tokyo,0,0
310,6B47D53D3AB14674BB9A6629B2D4E2F167FF15893F9B432353,2,6,30,female,50-59,Nagasaki,0,0
311,3A91B875433236CA78BA944326DC88C4E64F8FDE81F4D11A04,2,2,2,female,18-22,Kanagawa,0,0
313,D665392DBB1D099BC0F3CAE5F95D5A37FB81D92D2E8E6DB12D,2,7,32,female,60-,Iwate,0,0
317,F1DEB017FEF0BFD42B368739E6F6DE92A8CBFC137DA3A57510,2,5,2,female,40-49,Kanagawa,0,0
322,46C2490A4F518409F1692A4F8CEE18E18A230B07C933ED0ECD,2,7,42,female,60-,Yamanashi,0,0
325,353A1AE90C8A14AD9F48ABA417D34FF763D468AC5FC0749934,2,6,1,female,50-59,Tokyo,1,360
329,1C11AC7B50C24F7968F29AC075BBABD4A3E9F5B30689F569B0,2,1,3,female,16-18,Oosaka,0,0
350,725D59318A78BB5ABB510EAA2F36BCAB41461C2E85AD741AF1,2,6,7,female,50-59,Hyogo,0,0
354,0BB11CEF392B06C21075FD6AD40B5C9D2C6EA01E5DBC7FAC1E,2,5,5,female,40-49,Saitama,0,0
357,0B4F4EA6131FC71B4DD0465CD34148A0F0E47463FC9C5CA598,2,6,1,female,50-59,Tokyo,1,340
359,B5AF1821ED3357F8ABC57577F9219664EE5741367D9AB672BC,2,5,6,female,40-49,Chiba,0,0
366,37E16765A08579FBD253B3CB97AA8446E9D5968EDD7327FAB8,2,2,12,female,18-22,Hiroshima,0,0
368,2FA030909AD63835A2CED0FBD0A7E298F0AD7FC2AB05C00BE0,2,3,32,female,22-29,Iwate,0,0
372,E82791149F393E2D26F1FB713C80B89AF63C4DF0E140891A4A,2,6,23,female,50-59,Kumamoto,0,0
374,5693671EACD0EB2F9C3456C456B9C350B7EACD0890A95CAB38,2,2,1,female,18-22,Tokyo,1,140
375,2493E12167527B127E672DF460B1FA967E79785CF20DC7B827,2,2,26,female,18-22,Shiga,0,0
379,9EFA243BF4E6CA45902B5B562D160BCF759A4DE302FB5ED1C9,2,3,5,female,22-29,Saitama,0,0
381,79A353CA1721644FAE67B7320BF2715D660C603F9E5863916D,2,1,2,female,16-18,Kanagawa,0,0
384,2AFAA76784E8FD15C1F9B7406D467CBFCC4E19BABB2BB30906,2,1,1,female,16-18,Tokyo,0,0
385,397028B3965C0C76AE16702B7BAEC429B185F05AA9F4308770,2,5,1,female,40-49,Tokyo,0,0
388,5D01F17210712029F77AB8E6DB754100E73A4A29F778E6413A,2,3,9,female,22-29,Fukuoka,0,0
389,47ECB3CFC732F3855AEE96D2DE2714CEA03FFA7CEDD5354D66,2,4,1,female,30-39,Tokyo,0,0
392,7DDDACACE6769C5F89C6E1DBC27B6D2BFAF4726B3045C1CC25,2,1,22,female,16-18,Mie,1,500
400,3D5FABA969A1187A1CC93395A9FAD678BE9B512F31A2C80126,2,2,4,female,18-22,Aichi,0,0
401,4FEA3EB885762E22A2704919EAFF65AF38A8EC3EB9ADC48ADB,2,4,12,female,30-39,Hiroshima,0,0
403,6DBC3DAC1CBD877D7610FD89823EA00C9C16B89C630182F859,2,5,4,female,40-49,Aichi,0,0
409,AFEC0A9B0F0E460DD73DC6E23115790ADDAEE3310FECE20D06,2,5,4,female,40-49,Aichi,0,0
412,6D7F7AE4BA43939A39BF2D7E855B155EFA7167A2DDB09F90AF,2,5,3,female,40-49,Oosaka,0,0
418,B4FE08F882EC628E9E317546E125E123BF65E54AA1AAD66B36,2,3,2,female,22-29,Kanagawa,0,0
420,5E73F220CD872FA5F783145419375293D50037F7D308B43292,2,5,1,female,40-49,Tokyo,1,1480
426,BFC8C14FCFA4C4D736D721F2A2CD281981118F91DCEE447C7A,2,2,28,female,18-22,Aichi,0,0
433,6229DC0BF0C38D24FB82255DE5ADF894EE594CEF15836DBAF9,2,2,6,female,18-22,Chiba,0,0
434,225BF761DD27BA1CAD834F456A3015ACDAE851919EAC44C071,2,5,3,female,40-49,Oosaka,0,0
436,A7F4FB2CEAF86A96EB06C2301F26C6EFA78BD323817AF5D760,2,1,10,female,16-18,Shizuoka,0,0
437,C88651007A287F66FAD4F2941A2D7832A056981D5AC8C23729,2,2,2,female,18-22,Kanagawa,0,0
446,2ED25815679B48D559EE97EA53A1396A1A5AFED1A7A42FD366,2,5,3,female,40-49,Oosaka,0,0
447,7B04A91CCC9868BCB864E68CFF241FEF88434DFE24FDAA74DE,2,2,26,female,18-22,Shiga,0,0
449,D93AF0F3A9219997D8B441801690A336D3936D96CD9CC46677,2,6,3,female,50-59,Oosaka,0,0
452,D949580B0004450F83AA5D86D657FF8443869BCE9DCF662868,2,1,23,female,16-18,Kumamoto,0,0
453,A599AE5223746EE36935F491E6C78E940BD755375538AE3A68,2,4,26,female,30-39,Shiga,0,0
454,48D6604B337899E8F53557DF948DD521CBA78794A8096D1BE5,2,5,39,female,40-49,Kagawa,0,0
455,4C187B836945E08DFCA37C07BCF9279FA6B2E53C5443683FFB,2,6,6,female,50-59,Chiba,1,580
457,8E3166E57C6AE89D4D1DC5EEF5131646070B67B5F124EEE897,2,2,28,female,18-22,Aichi,0,0
458,250CD0FC39536B2EEB7D3D8BD17FC76FE5A80AB8B1FC8179EA,2,2,19,female,18-22,Gunma,0,0
462,D822575D6E90F88351E81F29DCFBF57C878238AF39433B2A78,2,5,4,female,40-49,Aichi,0,0
469,CAF4429345C8416AA7CB9E01BFF355793F7C372671DCB3BDFF,2,6,13,female,50-59,Kyoto,0,0
473,82629B6779B22F9D9ADA96FCBE8C79125BCD9CE281C40810AB,2,2,3,female,18-22,Oosaka,0,0
477,28912BD85FEF333856482CF98F5C240452DCD57B40E2E20247,2,5,4,female,40-49,Aichi,0,0
478,085810E24113D13F59F3151B0F0D4614CCEADF2B47C7E5F947,2,3,1,female,22-29,Tokyo,0,0
481,1566C2D1F05E06723F853C22367FE22D7EC264EDEEF2900FCD,2,6,5,female,50-59,Saitama,0,0
484,B38AC55323763A2E697DA6B7D05DD36DCF717B116FB1F7D598,2,4,26,female,30-39,Shiga,0,0
486,717FB3A1C36952C4E4A39516B72ADDF87EAB86DBCAB814847F,2,3,38,female,22-29,Akita,0,0
490,0E02CDE827D552A805463337EECD116F2DA0FE21BDFD2F4447,2,2,4,female,18-22,Aichi,0,0
497,2939A34307A00F455DB46CF21C928ECAA87D5A921D94BAA93C,2,2,3,female,18-22,Oosaka,0,0
498,3DC042A5D72A27991B8BA2FBC621D0E175808AC4336D6C4616,2,5,5,female,40-49,Saitama,0,0
499,68504962B32E5E1BFAA0198E959127B18C77A2D5875F62C06A,2,5,3,female,40-49,Oosaka,0,0
500,6209263C490962FDD74D27CE8E65A5428C92CB891B3BA6DB34,2,2,38,female,18-22,Akita,0,0
503,A7F22B77356EAAC0E786D420DD818FF5670E115A11AF815A7D,2,1,10,female,16-18,Shizuoka,1,700
504,3F91F6D864647130B34EC7D4C8B850937B1B28B4BF2BF6E179,2,3,2,female,22-29,Kanagawa,0,0
506,D725847590D7C409E40EE08210A5860FCCB4B0B78573B98C39,2,5,1,female,40-49,Tokyo,0,0
508,BE19C13823081593587AAA123C1007ABA570561AF2945AC13C,2,6,1,female,50-59,Tokyo,0,0
514,756B2EF66C5349CF838CA58159DB1639BBB1679C4214D1A232,2,1,33,female,16-18,Ishikawa,0,0
517,26711038AD704A071A0146C84AEE0732064FDA87E980A68B0E,2,1,40,female,16-18,Wakayama,0,0
519,21305BA3B2943F6CF69AB7DC7DE8F83A1BD474EDCAF88DB014,2,2,1,female,18-22,Tokyo,0,0
520,21B09A5BE19E3BF5F31E99861E85065F692C20F10F92AC658F,2,1,2,female,16-18,Kanagawa,1,120
522,7E502B254F144472F79DEB27E1C2FB95CEB25DF9F152263D39,2,6,2,female,50-59,Kanagawa,0,0
523,EFB2440D8B2C7A7233411997D117F471632787DFF99E1EC0D4,2,4,4,female,30-39,Aichi,0,0
525,0354E7D061C6F04962D89B28191EEBEE7301BC494470397C21,2,5,6,female,40-49,Chiba,0,0
526,0DC1D9B5547273405701E7563E0675B42433B0C9085DA16515,2,4,4,female,30-39,Aichi,0,0
527,B330793B086E91EF20FFE1C33E7F32AFAB745AF5ACC7B4DFA1,2,6,23,female,50-59,Kumamoto,0,0
529,176975E33D9505BAA386ED338165628FAB38ED1B310933088E,2,3,2,female,22-29,Kanagawa,0,0
530,21C78EAF946A3C161099E9D09955429063C1E9D36C35BB5EFE,2,5,2,female,40-49,Kanagawa,0,0
531,E21F4997159069ECA76BE6C0100B7535B5C328103E5415A99E,2,2,34,female,18-22,Oomuta,0,0
532,D8AC41A8E14F28DD3F25D04F87D664F53C0FA80F7D4B969393,2,1,10,female,16-18,Shizuoka,0,0
536,5226EB1D8FC7568B4A0FCBA2AF00BE1A80657DA0062E87402C,2,6,27,female,50-59,Yamaguchi,0,0
538,6B0C4409F71F33A83CD0AE0D266F20FF1CC3AE17968C8D6306,2,1,5,female,16-18,Saitama,0,0
544,E6AFFF2A03F45B984E63858B459EAC7CE7BA271BC7E5EC0285,2,4,25,female,30-39,Okinawa,1,460
546,015129C0A0B7970BF96805BF2C5755D3ABC7ECB8F2BA2B3835,2,6,22,female,50-59,Mie,0,0
547,D55119BE933E48624F0619739C576D15E36027F13E41028F1C,2,4,6,female,30-39,Chiba,0,0
548,6C1C2E2B5EE59965EC0C8749192F70DE389EA490279BDEBCC8,2,1,6,female,16-18,Chiba,0,0
550,AE16A8A1C6B4D54D12F0CE7BF20EDF018B87EC4F220D61D92F,2,2,7,female,18-22,Hyogo,0,0
555,E910051C61B249B5E391CE214CD2948D51D1A8E739A46F9126,2,2,5,female,18-22,Saitama,1,660
556,BA42A402C05101B5B952663F35A9EA60BD0E890B1C19EE8512,2,2,12,female,18-22,Hiroshima,1,480
558,0F9E7F6162B15A1FA7CDE385990FBDAED7CD15D9DDADB6C762,2,1,6,female,16-18,Chiba,1,20
560,FCF69E535653B35E3AE2ED92F7EC30D1079DDCD144C7E88432,2,4,6,female,30-39,Chiba,0,0
562,E4EC7622722B2681318FF71655F25855E4610ADAC4DA573651,2,3,8,female,22-29,Hokkaido,0,0
566,09B80521D901A6BA738D4D1DA6F988BE329542B026E6606CEE,2,1,17,female,16-18,Gifu,1,320
569,AA6E8347EE6A571F03C9FB434DEF2F6AED17FDFDBE7AB5D9C2,2,5,2,female,40-49,Kanagawa,0,0
570,ADC44B283BEBB1889A558EB637E3DDA683AEDED58077115381,2,5,6,female,40-49,Chiba,1,520
571,8D5EA30D8028A4CD3706BD1D8A46915C4A521FE42712A257DA,2,3,7,female,22-29,Hyogo,0,0
578,C6C4BA7015364B550FA54790C03A6DC8607945F70CCC73EBB6,2,2,34,female,18-22,Oomuta,0,0
580,A3E435E63C0E56EF0F5FD86071BB746C2E221514DF5CC25C62,2,2,2,female,18-22,Kanagawa,1,480
584,843A2B082BAF4FD52A813AD8CA6335A66A06370379AE0A78BD,2,3,3,female,22-29,Oosaka,0,0
587,94C0FB997E7FC1ADE45CDCABBF122E9DA0E84E6C6E6C716628,2,7,2,female,60-,Kanagawa,1,120
588,191E90CFB7B4587C8245F4616189A010B6C74502322D6B7876,2,1,6,female,16-18,Chiba,0,0
597,06E9B714724BEDA093BF44DC8716F39D032950887E4C4DF40B,2,2,11,female,18-22,Ibaraki,0,0
598,3FDDDF08922FC374AAD6111E414CC46E1930001E0B7D4E425B,2,1,26,female,16-18,Shiga,1,300
599,3710C6FFB80B165E5CB27A8959D84B94FC016D1773135B0EC5,2,1,10,female,16-18,Shizuoka,0,0
600,AC28546107AFBA59316CB47DF2A5CF1147BAD29157E8A99966,2,6,2,female,50-59,Kanagawa,0,0
601,3646B4DED02F4039702C03752E6842647493AE2DCEEB2A2B48,2,2,26,female,18-22,Shiga,0,0
603,5E885171FA4F6BC2A494E027F6F83404706277B78705AAF165,2,7,9,female,60-,Fukuoka,0,0
606,2AAD94F8B6BB44A8BAB6A6416EDC5AF69B7B81949216AAC47F,2,5,1,female,40-49,Tokyo,0,0
610,621115D6FFD038E505FF524D7BA27DB53530F3B176F60D0B95,2,6,3,female,50-59,Oosaka,0,0
611,76827FB0C1705F7E10518A954F2412C7F5DA7820198F2355E8,2,4,38,female,30-39,Akita,0,0
612,C751DFD371BEF9C6F8AFB3A3EDEDDCC504FE0254A49016203D,2,1,21,female,16-18,Fukushima,0,0
613,4CF3A20DA1715FA2F027913C456CE60B84B6DE58334DA40523,2,6,19,female,50-59,Gunma,1,420
614,E74492FD7DA0BA2135480C44642E4A72531EDF7ED9FD7AD97F,2,6,5,female,50-59,Saitama,0,0
615,942A0FCA59DCB9080D10FF180766DF9B6A2111CDDE68A33D9B,2,5,1,female,40-49,Tokyo,1,260
617,0188F2800207AC916BBD85E5CAE3A2FBB7EE2E286BD05F3342,2,2,2,female,18-22,Kanagawa,0,0
618,C94836CD7C4686897097520F650F311C9795E9A1264C96512A,2,6,3,female,50-59,Oosaka,0,0
620,2C910C526B557DF47404C93723E5A01499C709B43CE4214407,2,5,1,female,40-49,Tokyo,0,0
625,F708A5BAC60866D2AA988A17FD0EEC8D4A6804B4CC93CA82C4,2,4,24,female,30-39,Kagoshima,0,0
629,23E51D1BA23AC6062445DE5416EED2BA877577243DBE36E6B9,2,7,6,female,60-,Chiba,0,0
630,69E0CE137B2FCC865950E20A0FAC1087FE72CA23D2097F4A3F,2,4,1,female,30-39,Tokyo,0,0
632,DBC7CF0C55A838A3B8487C272A398C6F13B257902476ED93DF,2,7,3,female,60-,Oosaka,0,0
633,836C2768BF88EAC45B1734601F456CCCEE74CF4F679E7F751E,2,4,1,female,30-39,Tokyo,0,0
637,DB6BB6649FCEC1D8964F853360A1C1A8B72CF5E119CA916412,2,2,14,female,18-22,Miyagi,0,0
638,C55AE44E4612F026C543E58531959001AAEE6DCA5A91676566,2,5,7,female,40-49,Hyogo,1,120
644,FE2849D169B18A163CC55AD5F26EB9FAB00AE1D5A61399F554,2,5,1,female,40-49,Tokyo,1,860
651,64AA6392C7E7B4CD8A252649BBB4882AC3AABBD3C759AAB9DC,2,2,26,female,18-22,Shiga,0,0
653,1BADE6EDC9ECB1E843C81083A984BEA109F1FC11CC74231A09,2,5,1,female,40-49,Tokyo,0,0
655,B2025B1D1AA0B9B13A8F3B04C5B9444FC40F346D52E72B36A0,2,1,23,female,16-18,Kumamoto,0,0
